DATASET_YR	REPRJ_ID	INUN_ID	EXAM_CODE	STUD_I	ADMS_REQ	ADMS_REC	ADMS_RFS	PLACE_REQ	PLACE_REC	PLACE_RFS	DESCR	ADMS_CONSIDER	ADMS_NOT_USED
2018	12	5898	S1S2A	D								X	
2018	12	5898	SAT2	D								X	
2018	12	5901	S1A	D	X								
2018	12	5902	S1A	D		X							
2018	12	5912	OTHT	D	X						TABE, CPAt		
2018	12	5912	S1A	D		X							
2018	12	5913	OTHT	D	X						CPAt		
2018	12	5915	OTHT	D			X				Wonderlic aptitude test or THEA		
2018	12	5915	S1A	D		X							
2018	12	5923	OTHT	D	X						ACCUPLACER		
2018	12	5930	OTHT	D	X						Armed Services Vocational Aptitude Battery (ASVAB)		
2018	12	5933	OTHT	D			X				ACCUPLACER or SAT/ACT		
2018	12	5933	S1A	D		X							
2018	12	5934	S1A	D	X								
2018	12	5934	SAT1	D		X							
2018	12	5938	S1A	D	X								
2018	12	5939	S1A	D	X								
2018	12	5940	S1A	D	X								
2018	12	5940	SAT2	D								X	
2018	12	5941	ACT	D		X							
2018	12	5941	S1A	D	X								
2018	12	5942	S1A	D	X								
2018	12	5943	S1A	D	X								
2018	12	5944	OTHT	D			X				TOEFL or IELTS for students for whom English is not their first language		
2018	12	5944	S1A	D			X						
2018	12	5945	S1A	D	X								
2018	12	5946	S1A	D	X								
2018	12	5947	S1A	D	X								
2018	12	5949	S1A	D	X								
2018	12	5953	ACT	D								X	
2018	12	5953	S1A	D								X	
2018	12	5953	S1S2A	D									X
2018	12	5953	SAT1	D								X	
2018	12	5953	SAT2	D								X	
2018	12	5964	S1A	D	X								
2018	12	5968	OTHT	D	X						studio test for architecture, home test for art		
2018	12	5968	S1A	D	X								
2018	12	5968	SAT2	D			X						
2018	12	5972	S1A	D	X								
2018	12	5975	S1A	D		X							
2018	12	5976	S1A	D	X								
2018	12	5976	SAT2	D			X						
2018	12	5979	S1A	D		X							
2018	12	5980	ACT	D								X	
2018	12	5980	S1A	D	X								
2018	12	5980	S1S2A	D								X	
2018	12	5980	SAT1	D								X	
2018	12	5980	SAT2	D								X	
2018	12	5983	OTHT	D			X				TOEFL, IELTS		
2018	12	5983	S1A	D	X								
2018	12	5985	S1A	D	X								
2018	12	5987	ACT	D		X							
2018	12	5993	S1A	D	X								
2018	12	5994	S1A	D			X						
2018	12	5994	S1S2A	D									X
2018	12	5994	SAT2	D									X
2018	12	5999	S1A	D								X	
2018	12	6000	S1A	D	X								
2018	12	6001	S1A	D	X								
2018	12	6002	S1A	D	X								
2018	12	6002	SAT1	D		X							
2018	12	6004	OTHT	D	X						Wonderlic aptitude test		
2018	12	6005	OTHT	D	X						Wonderlic aptitude test		
2018	12	6006	OTHT	D			X				TOEFL for international applicants whose native language is not English		
2018	12	6006	S1A	D			X						
2018	12	6014	S1A	D	X								
2018	12	6017	S1S2A	D			X						
2018	12	6018	OTHT	D			X				SAT/ACT or high school course grades, show rigor of courses and teacher recommendations		
2018	12	6018	S1A	D		X	X						
2018	12	6018	SAT2	D								X	
2018	12	6020	S1A	D	X								
2018	12	6021	S1A	D	X								
2018	12	6022	S1A	D	X								
2018	12	6023	S1A	D	X								
2018	12	6024	S1A	D	X								
2018	12	6028	S1A	D	X								
2018	12	6034	S1A	D	X								
2018	12	6034	SAT2	D		X							
2018	12	6037	ACT	D		X							
2018	12	6037	SAT1	D		X							
2018	12	6039	S1A	D	X								
2018	12	6040	S1A	D	X								
2018	12	6040	S1S2A	D		X							
2018	12	6042	S1A	D	X								
2018	12	6044	ACT	D									X
2018	12	6044	S1A	D									X
2018	12	6044	S1S2A	D									X
2018	12	6044	SAT1	D									X
2018	12	6044	SAT2	D									X
2018	12	6046	S1A	D	X								
2018	12	6049	ACT	D								X	
2018	12	6049	S1A	D								X	
2018	12	6049	S1S2A	D								X	
2018	12	6049	SAT1	D								X	
2018	12	6051	S1A	D			X						
2018	12	6054	S1A	D	X								
2018	12	6064	OTHT	D			X				TOEFL		
2018	12	6064	S1A	D	X								
2018	12	6064	S1S2A	D								X	
2018	12	6070	ACT	D	X								
